シーズン,ゲームタイプ,球団,#,名前,守備位置,試合,打席,打数,打率,出塁率,長打率,OPS,得点,打点,安打,一塁打,二塁打,三塁打,本塁打,塁打,盗塁,盗塁刺,四球,故意四,三振,併殺,死球,犠打,犠飛,PlayerID
2025,公式戦,読売ジャイアンツ,61,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01605138"">増田　陸</a>",一,87,286,264,0.231,0.272,0.326,0.598,22,21,61,46,10,0,5,86,0,3,13,1,62,4,3,3,3,01605138
2025,公式戦,東北楽天ゴールデンイーグルス,64,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01605157"">林　優樹</a>",投,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01605157
2025,公式戦,東北楽天ゴールデンイーグルス,54,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01605159"">日當　直喜</a>",投,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01605159
2025,クライマックスシリーズファイナルステージ,福岡ソフトバンクホークス,24,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01705130"">栗原　陵矢</a>",三,6,25,23,0.174,0.208,0.261,0.469,0,0,4,2,2,0,0,6,0,0,1,0,9,0,0,1,0,01705130
2025,公式戦,福岡ソフトバンクホークス,24,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01705130"">栗原　陵矢</a>",三,80,332,285,0.267,0.356,0.407,0.763,33,40,76,54,12,2,8,116,1,1,40,1,67,6,2,1,4,01705130
2025,日本シリーズ,福岡ソフトバンクホークス,24,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01705130"">栗原　陵矢</a>",三,5,22,21,0.143,0.182,0.143,0.325,2,1,3,3,0,0,0,3,0,0,0,0,4,1,1,0,0,01705130
2025,公式戦,東京ヤクルトスワローズ,45,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01705132"">小澤　怜史</a>",投,25,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01705132
2025,公式戦,東京ヤクルトスワローズ,2,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01705134"">古賀　優大</a>",捕,87,291,264,0.280,0.319,0.345,0.664,16,16,74,61,11,0,2,91,2,0,12,2,23,14,4,9,2,01705134
2025,公式戦,広島東洋カープ,5,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01705138"">小園　海斗</a>",三,138,573,521,0.309,0.365,0.388,0.753,51,47,161,130,24,4,3,202,12,7,42,6,47,9,5,3,2,01705138
2025,公式戦,阪神タイガース,47,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01705155"">桐敷　拓馬</a>",投,43,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01705155
2025,日本シリーズ,阪神タイガース,47,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01705155"">桐敷　拓馬</a>",投,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01705155
2025,公式戦,東京ヤクルトスワローズ,10,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01805136"">宮本　丈</a>",打,80,106,89,0.258,0.365,0.303,0.668,4,9,23,19,4,0,0,27,1,0,14,1,20,2,1,2,0,01805136
2025,公式戦,東北楽天ゴールデンイーグルス,50,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01805151"">武藤　敦貴</a>",右,62,130,108,0.204,0.302,0.269,0.571,21,10,22,17,3,2,0,29,3,2,14,0,31,0,2,4,2,01805151
2025,公式戦,千葉ロッテマリーンズ,66,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01905134"">澤田　圭佑</a>",投,29,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01905134
2025,公式戦,中日ドラゴンズ,50,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01905136"">清水　達也</a>",投,55,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01905136
